bestand,regel,functie_element,element,classes,inline_styles,border_radius,padding,font_size,min_height,active_state,touch_target_ge44,toegankelijk
src/lib/components/budget/BudgetEntriesList.svelte,47,"onDelete(u.id)}>{E.PRULLENBAK}",button,"entry-delete",nvt,"var(--radius-sm)","0","0.9rem","var(--btn-height-compact)",onbekend,unknown,likely
src/lib/components/budget/BudgetFilters.svelte,32,"onSetPersoon("alle")}>Alle",button,"pill",nvt,"var(--radius-full)","var(--space-1-5) var(--space-3)","var(--text-sm)","var(--touch-target-compact)",onbekend,unknown,likely
src/lib/components/budget/BudgetFilters.svelte,33,"onSetPersoon("Dennis")}>Dennis",button,"pill",nvt,"var(--radius-full)","var(--space-1-5) var(--space-3)","var(--text-sm)","var(--touch-target-compact)",onbekend,unknown,likely
src/lib/components/budget/BudgetFilters.svelte,34,"onSetPersoon("Franzi")}>Franzi",button,"pill",nvt,"var(--radius-full)","var(--space-1-5) var(--space-3)","var(--text-sm)","var(--touch-target-compact)",onbekend,unknown,likely
src/lib/components/budget/BudgetFilters.svelte,39,"onSetCat("alle")}>Alle",button,"pill cat-pill",nvt,"var(--radius-full)","var(--space-1-5) var(--space-3)","var(--text-sm)","var(--touch-target-compact)",onbekend,unknown,likely
src/lib/components/budget/BudgetFilters.svelte,41,"onSetCat(ac.id)} title={ac.label}>{ac.emoji}",button,"pill cat-pill",nvt,"var(--radius-full)","var(--space-1-5) var(--space-3)","var(--text-sm)","var(--touch-target-compact)",onbekend,unknown,likely
src/lib/components/budget/BudgetFilters.svelte,50,"{E.KRUIS} Reset",button,"filter-reset",nvt,"var(--btn-radius)","0 var(--space-2-5)","var(--text-sm)","var(--btn-height-compact)",onbekend,unknown,likely
src/lib/components/budget/BudgetHeroCard.svelte,33,"aria-label",button,"edit-budget-btn",nvt,"var(--btn-radius)","0","var(--text-xs)","var(--btn-height-compact)",onbekend,unknown,likely
src/lib/components/Budget.svelte,183,"OK",button,"btn-success budget-edit-save",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--text-base)","var(--btn-height)",onbekend,unknown,likely
src/lib/components/Budget.svelte,184,"<button",button,"",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--ui-btn-font-size)","var(--btn-height)",onbekend,unknown,likely
src/lib/components/Budget.svelte,200,"{E.UNDO} Ongedaan maken",button,"undo-btn",nvt,"var(--radius-full)","0 var(--space-3)","var(--text-sm)","var(--btn-height-compact)",onbekend,unknown,likely
src/lib/components/BudgetForm.svelte,77,"toonForm = false} aria-label="Sluiten">",button,"fab-overlay",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--ui-btn-font-size)","var(--btn-height)",onbekend,unknown,likely
src/lib/components/BudgetForm.svelte,116,"Opslaan",button,"btn-save action-save",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--ui-btn-font-size)","var(--btn-height)",onbekend,unknown,likely
src/lib/components/BudgetForm.svelte,117,"toonForm = false} aria-label="Sluiten">",button,"btn-danger btn-icon action-cancel",nvt,"var(--btn-radius)","0","var(--text-lg)","var(--btn-height)",onbekend,unknown,likely
src/lib/components/BudgetForm.svelte,124,"toonForm = true}>",button,"fab",nvt,"var(--radius-lg)","0 var(--space-4)","var(--text-lg)","var(--space-14)",onbekend,unknown,likely
src/lib/components/GedeeldeLijst.svelte,171,"onbekend",a,"gl-maps-link",nvt,"var(--radius-full)","var(--space-1) var(--space-2-5)","var(--text-xs)","overerft",onbekend,unknown,needs-check
src/lib/components/GedeeldeLijst.svelte,177,"<button",button,"",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--ui-btn-font-size)","var(--btn-height)",onbekend,unknown,likely
src/lib/components/GedeeldeLijst.svelte,202,"Opslaan",button,"btn-success gl-submit",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--ui-btn-font-size)","var(--btn-height)",onbekend,unknown,likely
src/lib/components/GedeeldeLijst.svelte,203,"<button",button,"",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--ui-btn-font-size)","var(--btn-height)",onbekend,unknown,likely
src/lib/components/GedeeldeLijst.svelte,215,"toonForm = true}>",button,"btn-primary gl-add-btn",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--text-lg)","var(--btn-height)",onbekend,unknown,likely
src/lib/components/GerechtTipWidget.svelte,68,"onbekend",a,"card food-tip-card ui-widget-card",nvt,"var(--radius-lg)","var(--space-4)","overerft","var(--ui-widget-min-height)",onbekend,unknown,needs-check
src/lib/components/Navigation.svelte,52,"onbekend",a,"nav-item",nvt,"var(--radius-lg)","var(--space-1-5) var(--space-2-5)","overerft","var(--space-16)",onbekend,unknown,needs-check
src/lib/components/Noodinfo.svelte,10,"112 - Algemeen noodgeval",a,"",nvt,"overerft","overerft","overerft","overerft",onbekend,unknown,likely
src/lib/components/Noodinfo.svelte,11,"15 - SAMU (ambulance)",a,"",nvt,"overerft","overerft","overerft","overerft",onbekend,unknown,likely
src/lib/components/Noodinfo.svelte,12,"18 - Pompiers (brandweer)",a,"",nvt,"overerft","overerft","overerft","overerft",onbekend,unknown,likely
src/lib/components/Noodinfo.svelte,13,"17 - Gendarmerie (politie)",a,"",nvt,"overerft","overerft","overerft","overerft",onbekend,unknown,likely
src/lib/components/Noodinfo.svelte,25,"Bel 3237",a,"",nvt,"overerft","overerft","overerft","overerft",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenCalendarBoard.svelte,56,"Vorige",button,"ov-month-btn",nvt,"var(--btn-radius)","0 var(--space-2-5)","var(--text-sm)","var(--btn-height-compact)",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenCalendarBoard.svelte,58,"Volgende",button,"ov-month-btn",nvt,"var(--btn-radius)","0 var(--space-2-5)","var(--text-sm)","var(--btn-height-compact)",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenCalendarBoard.svelte,93,"<button",button,"",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--ui-btn-font-size)","var(--btn-height)",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenCalendarBoard.svelte,135,"Open kalender",button,"ov-secondary-btn",nvt,"var(--btn-radius)","0 var(--space-3)","var(--text-sm)","var(--btn-height)",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenEmptyState.svelte,29,"onbekend",button,"button button-secondary",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--ui-btn-font-size)","var(--btn-height)",onbekend,unknown,needs-check
src/lib/components/overnachtingen/OvernachtingenEmptyState.svelte,32,"onbekend",button,"button button-primary",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--ui-btn-font-size)","var(--btn-height)",onbekend,unknown,needs-check
src/lib/components/overnachtingen/OvernachtingenFormPanel.svelte,186,"onbekend",button,"ov-gps-btn",nvt,"var(--btn-radius)","0 var(--space-3)","var(--text-sm)","var(--btn-height)",onbekend,unknown,needs-check
src/lib/components/overnachtingen/OvernachtingenFormPanel.svelte,192,"{editItemId ? "Wijzigingen opslaan" : "Opslaan"}",button,"btn-save",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--ui-btn-font-size)","var(--btn-height)",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenFormPanel.svelte,193,"X",button,"btn-danger",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--ui-btn-font-size)","var(--btn-height)",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenFormPanel.svelte,295,"onbekend",button,"ov-gps-btn",nvt,"var(--btn-radius)","0 var(--space-3)","var(--text-sm)","var(--btn-height)",onbekend,unknown,needs-check
src/lib/components/overnachtingen/OvernachtingenFormPanel.svelte,301,"{editItemId ? "Wijzigingen opslaan" : "Naar shortlist"}",button,"btn-save",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--ui-btn-font-size)","var(--btn-height)",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenFormPanel.svelte,302,"X",button,"btn-danger",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--ui-btn-font-size)","var(--btn-height)",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenHeader.svelte,18,"onbekend",button,"button button-secondary",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--ui-btn-font-size)","var(--btn-height)",onbekend,unknown,needs-check
src/lib/components/overnachtingen/OvernachtingenHeader.svelte,21,"onbekend",button,"button button-primary",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--ui-btn-font-size)","var(--btn-height)",onbekend,unknown,needs-check
src/lib/components/overnachtingen/OvernachtingenListsSection.svelte,51,"onOpenEditor(o)}>Bewerk",button,"ov-open-btn",nvt,"var(--btn-radius)","0 var(--space-3)","var(--text-sm)","var(--btn-height-compact)",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenListsSection.svelte,52,"onDelete(o.id  o.naam)}>{E.PRULLENBAK}",button,"ov-delete",nvt,"var(--btn-radius)","0","var(--text-base)","var(--btn-height-compact)",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenListsSection.svelte,74,"{E.PIN} Google Maps",a,"",nvt,"overerft","overerft","overerft","overerft",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenListsSection.svelte,77,"Website",a,"",nvt,"overerft","overerft","overerft","overerft",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenListsSection.svelte,80,"Boeken",a,"",nvt,"overerft","overerft","overerft","overerft",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenListsSection.svelte,89,"onPlanShortlistItem(o)}>Plan met formulier",button,"ov-secondary-btn",nvt,"var(--btn-radius)","0 var(--space-3)","var(--text-sm)","var(--btn-height)",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenListsSection.svelte,90,"onPlanShortlistVanafVandaag(o)}>Plan vanaf vandaag",button,"btn-primary",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--ui-btn-font-size)","var(--btn-height)",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenListsSection.svelte,119,"onOpenEditor(o)}>Bewerk",button,"ov-open-btn",nvt,"var(--btn-radius)","0 var(--space-3)","var(--text-sm)","var(--btn-height-compact)",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenListsSection.svelte,120,"onDelete(o.id  o.naam)}>{E.PRULLENBAK}",button,"ov-delete",nvt,"var(--btn-radius)","0","var(--text-base)","var(--btn-height-compact)",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenListsSection.svelte,138,"{E.PIN} Google Maps",a,"",nvt,"overerft","overerft","overerft","overerft",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenTabs.svelte,22,"<button",button,"",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--ui-btn-font-size)","var(--btn-height)",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenTabs.svelte,31,"<button",button,"",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--ui-btn-font-size)","var(--btn-height)",onbekend,unknown,likely
src/lib/components/overnachtingen/OvernachtingenTabs.svelte,40,"<button",button,"",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--ui-btn-font-size)","var(--btn-height)",onbekend,unknown,likely
src/lib/components/poi/PoiCard.svelte,60,"Laat zien op kaart",a,"btn-primary poi-map-link",nvt,"var(--btn-radius)","0 var(--btn-padding-inline)","var(--ui-btn-font-size)","var(--btn-height)",onbekend,unknown,likely
