bestand,dark_override,missing_aria_count,touch_lt_44_count,uses_runes,possible_svelte4
src/lib/components/budget/BudgetEntriesList.svelte,nee,0,0,ja,nee
src/lib/components/budget/BudgetFilters.svelte,nee,0,0,ja,nee
src/lib/components/budget/BudgetHeroCard.svelte,nee,0,0,ja,nee
src/lib/components/budget/BudgetSettlementCard.svelte,nee,0,0,ja,nee
src/lib/components/Budget.svelte,nee,0,0,ja,nee
src/lib/components/BudgetChart.svelte,ja,0,0,ja,nee
src/lib/components/BudgetForm.svelte,ja,1,0,ja,nee
src/lib/components/GedeeldeLijst.svelte,nee,0,0,ja,nee
src/lib/components/GerechtTipWidget.svelte,ja,0,0,ja,nee
src/lib/components/Header.svelte,ja,0,0,ja,nee
src/lib/components/Navigation.svelte,nee,0,1,ja,nee
src/lib/components/Noodinfo.svelte,ja,0,0,nee,nee
src/lib/components/overnachtingen/OvernachtingenCalendarBoard.svelte,ja,0,0,ja,nee
src/lib/components/overnachtingen/OvernachtingenEmptyState.svelte,nee,0,0,ja,nee
src/lib/components/overnachtingen/OvernachtingenFormPanel.svelte,ja,0,0,ja,nee
src/lib/components/overnachtingen/OvernachtingenHeader.svelte,nee,0,0,ja,nee
src/lib/components/overnachtingen/OvernachtingenListsSection.svelte,ja,0,0,ja,nee
src/lib/components/overnachtingen/OvernachtingenTabs.svelte,nee,0,0,ja,nee
src/lib/components/OvernachtingenPlanner.svelte,nee,0,0,ja,nee
src/lib/components/poi/PoiCard.svelte,ja,0,1,ja,nee
src/lib/components/poi/PoiFormModal.svelte,ja,0,0,ja,nee
src/lib/components/Snackbar.svelte,nee,0,0,ja,nee
src/lib/components/SpotVanDeDag.svelte,nee,0,0,ja,nee
src/lib/components/weer/WeerAlerts.svelte,nee,0,0,ja,nee
src/lib/components/weer/WeerDagen.svelte,nee,0,0,ja,nee
src/lib/components/WeerWidget.svelte,nee,0,0,ja,nee
src/lib/components/wildlife/WildlifeCard.svelte,ja,0,0,ja,nee
src/lib/components/wildlife/WildlifeFullscreenOverlay.svelte,nee,0,0,ja,nee
src/lib/components/wildlife/WildlifeInfoPanel.svelte,ja,0,0,ja,nee
src/lib/components/wildlife/WildlifeStats.svelte,ja,0,0,ja,nee
src/lib/components/WildlifeChecklist.svelte,ja,0,1,ja,nee
src/lib/features/gerechten/components/GerechtCard.svelte,ja,0,2,ja,nee
src/lib/features/gerechten/components/GerechtenHeader.svelte,ja,0,1,ja,nee
src/lib/features/gerechten/components/GerechtenList.svelte,ja,0,0,ja,nee
src/lib/features/gerechten/components/GerechtenStats.svelte,ja,0,0,ja,nee
src/lib/features/gerechten/components/GerechtenTipCard.svelte,ja,0,0,nee,nee
src/lib/features/gerechten/GerechtenFeature.svelte,nee,0,0,ja,nee
src/routes/+layout.svelte,nee,0,0,ja,nee
src/routes/+page.svelte,ja,0,0,nee,nee
src/routes/budget/+page.svelte,nee,0,0,nee,nee
src/routes/campings/+page.svelte,nee,0,0,nee,nee
src/routes/meer/+page.svelte,nee,0,0,nee,nee
src/routes/meer/[id]/+page.svelte,nee,0,0,ja,nee
src/routes/poi/+page.svelte,ja,0,1,ja,nee
